word,level,difficulty,meaning_zh,pos,topic,example,example_zh,parts_json,note,is_basic,accepted,source
quiet,KET,1,安静的,adj.,感受与性格,The garden is quiet this morning.,今天早晨花园很安静。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
noisy,KET,2,吵闹的,adj.,感受与性格,The classroom gets noisy at lunch.,午饭时教室变得吵闹。,"[{""text"": ""noise"", ""kind"": ""root"", ""meaning"": ""噪声""}, {""text"": ""-y"", ""kind"": ""suffix"", ""meaning"": ""有……特征的""}]",sunny、foggy 双写末尾辅音；noisy 去掉 noise 的 e。只留意本词适用的变化。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
lucky,KET,2,幸运的,adj.,感受与性格,We are lucky to have sunny weather.,我们很幸运遇上了晴天。,"[{""text"": ""luck"", ""kind"": ""root"", ""meaning"": ""运气""}, {""text"": ""-y"", ""kind"": ""suffix"", ""meaning"": ""有……特征的""}]",sunny、foggy 双写末尾辅音；noisy 去掉 noise 的 e。只留意本词适用的变化。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
bedroom,KET,1,卧室,n.,家与日常,My bedroom has a yellow wall.,我的卧室有一面黄色的墙。,"[{""text"": ""bed"", ""kind"": ""compound"", ""meaning"": ""床""}, {""text"": ""room"", ""kind"": ""compound"", ""meaning"": ""房间""}]",这是现代英语中可以辨认的合成成分。把两个意思连起来理解，再用例句确认完整词义。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
bathroom,KET,1,浴室；卫生间,n.,家与日常,The bathroom is upstairs.,浴室在楼上。,"[{""text"": ""bath"", ""kind"": ""compound"", ""meaning"": ""洗澡""}, {""text"": ""room"", ""kind"": ""compound"", ""meaning"": ""房间""}]",这是现代英语中可以辨认的合成成分。把两个意思连起来理解，再用例句确认完整词义。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
living room,KET,2,客厅,n.,家与日常,We play cards in the living room.,我们在客厅打牌。,"[{""text"": ""living"", ""kind"": ""compound"", ""meaning"": ""生活；起居""}, {""text"": ""room"", ""kind"": ""compound"", ""meaning"": ""房间""}]",这是现代英语中可以辨认的合成成分。把两个意思连起来理解，再用例句确认完整词义。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
dining room,KET,2,餐厅；饭厅,n.,家与日常,The dining room has a round table.,饭厅里有一张圆桌。,"[{""text"": ""dining"", ""kind"": ""compound"", ""meaning"": ""用餐""}, {""text"": ""room"", ""kind"": ""compound"", ""meaning"": ""房间""}]",这是现代英语中可以辨认的合成成分。把两个意思连起来理解，再用例句确认完整词义。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
kitchen,KET,1,厨房,n.,家与日常,A lovely smell comes from the kitchen.,厨房里飘来一阵香味。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
cupboard,KET,2,橱柜,n.,家与日常,Put the cups in the cupboard.,把杯子放进橱柜。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
bookshelf,KET,2,书架,n.,家与日常,The blue book is on the bookshelf.,蓝色的书在书架上。,"[{""text"": ""book"", ""kind"": ""compound"", ""meaning"": ""书""}, {""text"": ""shelf"", ""kind"": ""compound"", ""meaning"": ""架子""}]",这是现代英语中可以辨认的合成成分。把两个意思连起来理解，再用例句确认完整词义。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
armchair,KET,2,扶手椅,n.,家与日常,Grandpa reads in his armchair.,爷爷坐在扶手椅上看书。,"[{""text"": ""arm"", ""kind"": ""compound"", ""meaning"": ""手臂；扶手""}, {""text"": ""chair"", ""kind"": ""compound"", ""meaning"": ""椅子""}]",这是现代英语中可以辨认的合成成分。把两个意思连起来理解，再用例句确认完整词义。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
furniture,KET,3,家具,n.,家与日常,This room needs some furniture.,这个房间需要一些家具。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
blanket,KET,2,毯子,n.,家与日常,Take a blanket for the cold night.,带条毯子应对寒冷的夜晚。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
pillow,KET,2,枕头,n.,家与日常,My pillow is soft.,我的枕头很软。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
mirror,KET,1,镜子,n.,家与日常,He looks in the mirror.,他照了照镜子。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
curtain,KET,2,窗帘,n.,家与日常,Open the curtain to see the garden.,拉开窗帘看看花园。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
carpet,KET,2,地毯,n.,家与日常,The dog lies on the carpet.,狗躺在地毯上。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
ceiling,KET,3,天花板,n.,家与日常,There is a lamp on the ceiling.,天花板上有一盏灯。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
roof,KET,2,屋顶,n.,家与日常,A bird sits on the roof.,一只鸟停在屋顶上。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
stairs,KET,2,楼梯,n.,家与日常,Please walk slowly on the stairs.,请在楼梯上慢慢走。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
upstairs,KET,2,在楼上；楼上的,adv.; adj.,家与日常,My brother is upstairs.,我的哥哥在楼上。,"[{""text"": ""up"", ""kind"": ""compound"", ""meaning"": ""向上""}, {""text"": ""stairs"", ""kind"": ""compound"", ""meaning"": ""楼梯""}]",这是现代英语中可以辨认的合成成分。把两个意思连起来理解，再用例句确认完整词义。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
downstairs,KET,2,在楼下；楼下的,adv.; adj.,家与日常,We have breakfast downstairs.,我们在楼下吃早饭。,"[{""text"": ""down"", ""kind"": ""compound"", ""meaning"": ""向下""}, {""text"": ""stairs"", ""kind"": ""compound"", ""meaning"": ""楼梯""}]",这是现代英语中可以辨认的合成成分。把两个意思连起来理解，再用例句确认完整词义。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
entrance,KET,3,入口,n.,家与日常,Meet me at the entrance.,在入口处和我见面。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
key,KET,1,钥匙,n.,家与日常,I keep my key in this pocket.,我把钥匙放在这个口袋里。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
repair,KET,2,修理,v.,家与日常,Can you repair this chair?,你能修理这把椅子吗？,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
tidy,KET,1,整洁的；整理,adj.; v.,家与日常,Please tidy your bedroom.,请整理你的卧室。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
wash,KET,1,洗,v.,家与日常,Wash your hands before dinner.,饭前洗手。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
cleaner,KET,2,清洁工；清洁器,n.,家与日常,The cleaner works in our school.,这位清洁工在我们学校工作。,"[{""text"": ""clean"", ""kind"": ""root"", ""meaning"": ""清洁""}, {""text"": ""-er"", ""kind"": ""suffix"", ""meaning"": ""做某事的人或物"", ""story"": ""表示做事者的 -er 有古英语 -ere 等历史来源。它常把动作变成做这个动作的人；比较级里的 -er 是另一种用法。"", ""source"": ""https://www.merriam-webster.com/dictionary/-er""}]",动作词 + -er，表示做这件事的人；printer 在本课指执行打印动作的机器。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
breakfast,KET,1,早餐,n.,食物与烹饪,We have breakfast at seven.,我们七点吃早饭。,[],本课整体记忆。相同字母不等于相同词根；请结合例句回忆实际含义。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
lunch,KET,1,午餐,n.,食物与烹饪,I bring lunch to school.,我带午饭去学校。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
dinner,KET,1,晚餐；正餐,n.,食物与烹饪,Dinner is ready now.,晚饭现在好了。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
sandwich,KET,1,三明治,n.,食物与烹饪,I made a cheese sandwich.,我做了一个奶酪三明治。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
vegetable,KET,3,蔬菜,n.,食物与烹饪,A carrot is my favourite vegetable.,胡萝卜是我最喜欢的蔬菜。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
potato,KET,1,土豆,n.,食物与烹饪,Put one potato in the soup.,在汤里放一个土豆。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
tomato,KET,1,番茄,n.,食物与烹饪,This tomato is bright red.,这个番茄红彤彤的。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
carrot,KET,1,胡萝卜,n.,食物与烹饪,The rabbit eats a carrot.,兔子吃一根胡萝卜。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
onion,KET,2,洋葱,n.,食物与烹饪,Cut the onion into small pieces.,把洋葱切成小块。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
salad,KET,1,沙拉,n.,食物与烹饪,I add an egg to my salad.,我往沙拉里加了一个鸡蛋。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
strawberry,KET,3,草莓,n.,食物与烹饪,There is a strawberry on the cake.,蛋糕上有一颗草莓。,[],本课整体记忆。相同字母不等于相同词根；请结合例句回忆实际含义。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
grape,KET,1,葡萄,n.,食物与烹饪,This grape tastes sweet.,这颗葡萄尝起来很甜。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
lemon,KET,1,柠檬,n.,食物与烹饪,Add some lemon to the water.,在水里加一些柠檬。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
biscuit,KET,1,饼干,n.,食物与烹饪,Would you like a biscuit?,你想吃块饼干吗？,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,cookie,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
chocolate,KET,1,巧克力,n.,食物与烹饪,We share a small bar of chocolate.,我们分享一小块巧克力。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
cheese,KET,1,奶酪,n.,食物与烹饪,I put cheese on my bread.,我把奶酪放在面包上。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
yogurt,KET,2,酸奶,n.,食物与烹饪,I eat yogurt with fruit.,我吃水果配酸奶。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,yoghurt,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
honey,KET,1,蜂蜜,n.,食物与烹饪,The honey tastes sweet.,这蜂蜜尝起来很甜。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
butter,KET,1,黄油,n.,食物与烹饪,Spread butter on the warm bread.,在温热的面包上涂黄油。,[],本课整体记忆。相同字母不等于相同词根；请结合例句回忆实际含义。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
pepper,KET,2,胡椒粉；甜椒,n.,食物与烹饪,Add a little pepper to the soup.,在汤里加一点胡椒粉。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
sugar,KET,1,糖,n.,食物与烹饪,This drink has too much sugar.,这杯饮料的糖太多了。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
salt,KET,1,盐,n.,食物与烹饪,The soup needs a little salt.,汤里需要加一点盐。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
delicious,KET,3,美味的,adj.,食物与烹饪,Your soup is delicious.,你的汤很美味。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
fresh,KET,2,新鲜的,adj.,食物与烹饪,We buy fresh bread every morning.,我们每天早晨买新鲜面包。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
menu,KET,2,菜单,n.,食物与烹饪,May I see the menu?,我可以看看菜单吗？,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
recipe,KET,3,食谱,n.,食物与烹饪,This recipe is easy to follow.,这个食谱很容易照着做。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
bake,KET,2,烘烤,v.,食物与烹饪,Let's bake a cake for Dad.,我们给爸爸烤个蛋糕吧。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
boil,KET,2,煮沸；水煮,v.,食物与烹饪,Boil the water first.,先把水烧开。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
knife,KET,1,刀,n.,食物与烹饪,Use a knife to cut the bread.,用刀切面包。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
fork,KET,1,叉子,n.,食物与烹饪,I eat the salad with a fork.,我用叉子吃沙拉。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
spoon,KET,1,勺子,n.,食物与烹饪,Take a spoon for your soup.,拿个勺子喝汤。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
plate,KET,1,盘子,n.,食物与烹饪,Put the sandwich on a plate.,把三明治放在盘子上。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
bowl,KET,1,碗,n.,食物与烹饪,The bowl is full of rice.,碗里盛满了米饭。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
airport,KET,2,机场,n.,城市与旅行,We arrive at the airport early.,我们早早到达机场。,"[{""text"": ""air"", ""kind"": ""compound"", ""meaning"": ""空中""}, {""text"": ""port"", ""kind"": ""compound"", ""meaning"": ""港；运输枢纽""}]",这是现代英语中可以辨认的合成成分。把两个意思连起来理解，再用例句确认完整词义。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
railway,KET,3,铁路,n.,城市与旅行,The railway goes through the town.,铁路穿过这座小镇。,"[{""text"": ""rail"", ""kind"": ""compound"", ""meaning"": ""铁轨""}, {""text"": ""way"", ""kind"": ""compound"", ""meaning"": ""路""}]",这是现代英语中可以辨认的合成成分。把两个意思连起来理解，再用例句确认完整词义。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
station,KET,2,车站,n.,城市与旅行,I wait at the station.,我在车站等。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
platform,KET,3,站台,n.,城市与旅行,Our train leaves from this platform.,我们的火车从这个站台出发。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
passenger,KET,3,乘客,n.,城市与旅行,Each passenger needs a ticket.,每位乘客都需要一张票。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
ticket,KET,1,票,n.,城市与旅行,Keep your ticket in your pocket.,把票放在口袋里。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
passport,KET,3,护照,n.,城市与旅行,Check your passport before the trip.,旅行前检查你的护照。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
suitcase,KET,3,手提箱；行李箱,n.,城市与旅行,My suitcase is quite heavy.,我的行李箱很重。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
luggage,KET,3,行李,n.,城市与旅行,Our luggage is on the bus.,我们的行李在公共汽车上。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
journey,KET,3,旅程,n.,城市与旅行,The journey takes two hours.,旅程需要两个小时。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
travel,KET,2,旅行,v.,城市与旅行,We travel by train.,我们坐火车旅行。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
holiday,KET,1,假期,n.,城市与旅行,We spend our holiday by the sea.,我们在海边度假。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
hotel,KET,1,酒店,n.,城市与旅行,Our hotel is near the beach.,我们的酒店在海滩附近。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
restaurant,KET,1,餐馆,n.,城市与旅行,This restaurant serves great noodles.,这家餐馆的面条很好吃。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
museum,KET,2,博物馆,n.,城市与旅行,We see old toys in the museum.,我们在博物馆看到了旧玩具。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
theatre,KET,2,剧院,n.,城市与旅行,The theatre is next to the park.,剧院在公园旁边。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,theater,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
cinema,KET,1,电影院,n.,城市与旅行,We meet outside the cinema.,我们在电影院外见面。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
supermarket,KET,1,超市,n.,城市与旅行,Mum buys milk at the supermarket.,妈妈在超市买牛奶。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
bookshop,KET,2,书店,n.,城市与旅行,The bookshop sells story books.,这家书店卖故事书。,"[{""text"": ""book"", ""kind"": ""compound"", ""meaning"": ""书""}, {""text"": ""shop"", ""kind"": ""compound"", ""meaning"": ""商店""}]",这是现代英语中可以辨认的合成成分。把两个意思连起来理解，再用例句确认完整词义。,0,bookstore,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
postcard,KET,2,明信片,n.,城市与旅行,Send me a postcard from your trip.,旅行时给我寄张明信片。,"[{""text"": ""post"", ""kind"": ""compound"", ""meaning"": ""邮寄""}, {""text"": ""card"", ""kind"": ""compound"", ""meaning"": ""卡片""}]",这是现代英语中可以辨认的合成成分。把两个意思连起来理解，再用例句确认完整词义。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
post office,KET,2,邮局,n.,城市与旅行,The post office opens at nine.,邮局九点开门。,"[{""text"": ""post"", ""kind"": ""compound"", ""meaning"": ""邮政""}, {""text"": ""office"", ""kind"": ""compound"", ""meaning"": ""办公处""}]",这是现代英语中可以辨认的合成成分。把两个意思连起来理解，再用例句确认完整词义。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
traffic,KET,3,交通；车辆,n.,城市与旅行,There is a lot of traffic today.,今天路上车很多。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
roundabout,KET,3,环岛,n.,城市与旅行,Turn left at the roundabout.,在环岛向左转。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
bridge,KET,1,桥,n.,城市与旅行,We walk across the bridge.,我们走过这座桥。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
castle,KET,2,城堡,n.,城市与旅行,The castle stands on a hill.,城堡坐落在小山上。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
village,KET,1,村庄,n.,城市与旅行,My cousin lives in a small village.,我的表哥住在一个小村庄。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
capital,KET,3,首都,n.,城市与旅行,Beijing is the capital of China.,北京是中国的首都。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
square,KET,2,广场,n.,城市与旅行,There is a market in the square.,广场上有一个集市。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
corner,KET,2,角；拐角,n.,城市与旅行,The shop is on the corner.,商店在拐角处。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
opposite,KET,3,在对面；对面的,prep.; adj.,城市与旅行,The bank is opposite the school.,银行在学校对面。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
straight,KET,2,直地；直的,adv.; adj.,城市与旅行,Walk straight to the end of the road.,沿着路一直走到尽头。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
arrive,KET,1,到达,v.,城市与旅行,We arrive before sunset.,我们在日落前到达。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
leave,KET,1,离开,v.,城市与旅行,We leave home at eight.,我们八点离开家。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
return,KET,1,返回；归还,v.,城市与旅行,Please return the book tomorrow.,请明天归还这本书。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
weather,KET,2,天气,n.,自然与天气,The weather changes quickly here.,这里的天气变化很快。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
sunny,KET,1,晴朗的,adj.,自然与天气,It is sunny this morning.,今天早晨天气晴朗。,"[{""text"": ""sun"", ""kind"": ""root"", ""meaning"": ""太阳""}, {""text"": ""-y"", ""kind"": ""suffix"", ""meaning"": ""有……特征的""}]",sunny、foggy 双写末尾辅音；noisy 去掉 noise 的 e。只留意本词适用的变化。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
cloudy,KET,1,多云的,adj.,自然与天气,It is cloudy but warm.,天气多云但温暖。,"[{""text"": ""cloud"", ""kind"": ""root"", ""meaning"": ""云""}, {""text"": ""-y"", ""kind"": ""suffix"", ""meaning"": ""有……特征的""}]",sunny、foggy 双写末尾辅音；noisy 去掉 noise 的 e。只留意本词适用的变化。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
windy,KET,1,多风的,adj.,自然与天气,It is too windy for a picnic.,风太大不适合野餐。,"[{""text"": ""wind"", ""kind"": ""root"", ""meaning"": ""风""}, {""text"": ""-y"", ""kind"": ""suffix"", ""meaning"": ""有……特征的""}]",sunny、foggy 双写末尾辅音；noisy 去掉 noise 的 e。只留意本词适用的变化。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
